Analysis,avg_d13C12C,avg_calib_d18O16O,biotic,pred
5947,-12.8581059911111,-6.07865186559581,abiotic,abiotic
5948,-12.61056295,-9.11646501459948,biotic,abiotic
5949,-12.4429242288889,-3.81147827410589,abiotic,abiotic
5951,-13.1947528377778,-3.82917201337573,abiotic,abiotic
5952,-13.3954761544444,-4.4900864279944,abiotic,abiotic
5953,-13.4735790733333,-9.20015129308316,abiotic,abiotic
5954,-14.2449314444444,-4.75451421685841,biotic,biotic
5956,-13.1151396822222,-3.70817120789835,abiotic,abiotic
5959,-13.5316699188889,-3.82165041973024,biotic,biotic
5960,-12.69113766,-3.65464977226186,biotic,abiotic
5961,-13.0050390455556,-4.12820995247429,biotic,abiotic
