Analysis,time_kl_shift,fluctanal_prop_r1,motiftwo_entro3,outlierinclude_mdrmd,sampenc,sampen_first,avg_rR45CO244CO2,avg_R45CO244CO2,sd_R13C12C,avg_d18O13C,sd_d18O13C,biotic,pred
2960,133,0.408163265306122,0.552533512715665,-0.507910656119125,0.01150116696327,0.01150116696327,1.17695598666667,0.0118284601111111,1.09038296024826e-06,0.309811154111111,0.00294709407855579,biotic,biotic
2961,133,0.408163265306122,0.552896784080831,-0.00558399255467656,0.0114325291948578,0.0114325291948578,1.17887469811111,0.0118481013333333,4.65395291959154e-07,0.594604007222222,0.00317916628608444,biotic,biotic
2962,133,0.469387755102041,0.55107658634389,-0.512563983248022,0.0113620360173334,0.0113620360173334,1.18001923222222,0.0118597222222222,1.55510032723876e-06,0.592454718222222,0.00983973832132181,biotic,biotic
2966,133,0.489795918367347,0.550345812791181,-0.514192647743136,0.0113012306897143,0.0113012306897143,1.17990736622222,0.0118581355555556,1.79598736385071e-06,0.570764188555556,0.00784079793026922,biotic,abiotic
2970,133,0.408163265306122,0.551441394903152,-0.50860865518846,0.0115013386933357,0.0115013386933357,1.17719942155556,0.0118313226666667,1.43225400253508e-06,0.322316054333333,0.00342020771772899,biotic,biotic
2972,4038,0.408163265306122,0.553259672181557,-0.0226849697533737,0.0114961804969927,0.0114961804969927,1.17888736666667,0.0118511665555556,2.67767519397634e-07,0.582750199555556,0.00204483195814441,biotic,biotic
2973,133,0.408163265306122,0.552169857673616,-0.50814332247557,0.0113622382127072,0.0113622382127072,1.176757149,0.0118292284444444,1.3603736721129e-06,0.316629379777778,0.0025653658951975,biotic,biotic
2976,133,0.408163265306122,0.553259672181557,-0.120521172638437,0.0114868636083621,0.0114868636083621,1.17884756877778,0.0118484335555556,2.40213504570321e-07,0.564362483444444,0.00272420248836826,biotic,biotic
2977,133,0.408163265306122,0.552169857673616,-0.507794322940903,0.0114863332649206,0.0114863332649206,1.17738802522222,0.0118338366666667,1.30811414299782e-06,0.325820288444444,0.0021886709221872,biotic,biotic
2978,133,0.408163265306122,0.552533512715665,-0.0416472778036296,0.0114826803790673,0.0114826803790673,1.17919271633333,0.0118524203333333,1.4532903281124e-07,0.594945945,0.00363727473022105,biotic,biotic
2979,133,0.408163265306122,0.553259672181557,-0.0325732899022801,0.0114920093578596,0.0114920093578596,1.179674327,0.0118577593333333,2.0774450119742e-07,0.389157336444444,0.00294433669607126,biotic,biotic
2981,4038,0.408163265306122,0.552896784080831,-0.120404839460214,0.0114818007244947,0.0114818007244947,1.17948387522222,0.0118564454444444,3.82419853621952e-07,0.382430865444444,0.00279170049583749,biotic,biotic
2983,4038,0.408163265306122,0.553259672181557,-0.0564215914378781,0.0114852804022636,0.0114852804022636,1.17860544077778,0.0118489591111111,1.98781985546295e-07,0.553760763444444,0.00320350516018407,biotic,biotic
2985,133,0.408163265306122,0.552896784080831,-0.119706840390879,0.0114923902324468,0.0114923902324468,1.17935007566667,0.011856582,2.19498354840451e-07,0.387081251777778,0.00222133860272196,biotic,biotic
2987,133,0.408163265306122,0.552896784080831,-0.507445323406235,0.0114260751742003,0.0114260751742003,1.17669532466667,0.0118298008888889,1.38245214906152e-06,0.324226165555556,0.00296667845579847,biotic,biotic
2988,133,0.408163265306122,0.552896784080831,-0.0379246161005119,0.0113619066640546,0.0113619066640546,1.17932923933333,0.0118558083333333,3.16800059623963e-07,0.384850441777778,0.00251101721523627,biotic,biotic
2989,133,0.408163265306122,0.5543460410038,0.00814332247557004,0.0114223204192188,0.0114223204192188,1.18037506188889,0.0118663748888889,2.56444905280747e-06,0.601985774555556,0.0113517120764453,biotic,biotic
2990,133,0.408163265306122,0.553622177429102,-0.0251279664960447,0.0114316257948266,0.0114316257948266,1.17951117788889,0.0118571137777778,2.99550079285522e-07,0.388930361,0.00404298223419873,biotic,biotic
2993,133,0.408163265306122,0.552896784080831,-0.509306654257794,0.0114913356917646,0.0114913356917646,1.17682259888889,0.0118293345555556,1.09164452903751e-06,0.328524642222222,0.00402060592067009,biotic,biotic
2995,4038,0.408163265306122,0.552896784080831,-0.00558399255467656,0.0114294289933865,0.0114294289933865,1.17912426766667,0.011852938,2.65752129708307e-07,0.587502661444444,0.00429856397302862,biotic,biotic
2996,133,0.408163265306122,0.552533512715665,-0.044206607724523,0.0114786281370146,0.0114786281370146,1.17885379933333,0.0118498012222222,3.20261394974716e-07,0.546143617555556,0.00366895909271947,biotic,biotic
2998,133,0.346938775510204,0.555428975180965,-0.000930665425779464,0.0113362079844092,0.0113362079844092,1.18044714444444,0.0118666922222222,2.33218063194074e-06,0.597241066444444,0.0102724238585687,biotic,biotic
3001,4038,0.408163265306122,0.553622177429102,-0.506747324336901,0.0114994149016675,0.0114994149016675,1.17686168944444,0.0118304912222222,1.27977449185409e-06,0.329255103222222,0.00232315873361206,biotic,biotic
3231,133,0.346938775510204,0.555068378071516,-0.00372266170311775,0.011507194197511,0.011507194197511,1.17996304933333,0.0118602631111111,3.23617830164034e-07,0.358581616555556,0.0033959946026644,abiotic,abiotic
3232,133,0.346938775510204,0.553984300233548,-0.506979990693346,0.0114442142365567,0.0114442142365567,1.17696597933333,0.0118303366666667,1.5426615618611e-06,0.294867051111111,0.00217485430465086,abiotic,abiotic
3233,133,0.346938775510204,0.553984300233548,-0.00500232666356443,0.0115177935197546,0.0115177935197546,1.17993212988889,0.0118602937777778,3.85008116797559e-07,0.362682759222222,0.00301212502037448,abiotic,abiotic
3234,133,0.346938775510204,0.553984300233548,-0.506747324336901,0.0114588963284329,0.0114588963284329,1.17671107911111,0.0118278873333333,1.85206786082804e-06,0.287856689444444,0.00228004902492512,abiotic,abiotic
3240,133,0.489795918367347,0.550426497381958,-0.516639515941354,0.0111823111559665,0.0111823111559665,1.17846621033333,0.0118487942222222,1.79211467266701e-07,0.557204516444444,0.00349914732681393,abiotic,abiotic
3241,133,0.346938775510204,0.553984300233548,-0.0183806421591438,0.0113093404088344,0.0113093404088344,1.17883282988889,0.011852008,2.24610279768698e-07,0.576031397333333,0.00483578164373843,abiotic,abiotic
3242,133,0.346938775510204,0.5543460410038,-0.118892508143323,0.0114002683292903,0.0114002683292903,1.178482754,0.0118485797777778,3.3360871957693e-07,0.551872949888889,0.00204665498627708,abiotic,abiotic
3250,133,0.346938775510204,0.553984300233548,-0.0372266170311772,0.011378954007395,0.011378954007395,1.17843632311111,0.0118482067777778,2.21610456532141e-07,0.549585030555556,0.00315568838852839,abiotic,abiotic
3253,4038,0.346938775510204,0.554707400147599,-0.00558399255467656,0.0114217327543337,0.0114217327543337,1.17978065222222,0.0118602278888889,3.16128314313958e-07,0.369260924,0.00335757739611933,abiotic,abiotic
3255,4038,0.346938775510204,0.553984300233548,-0.506747324336901,0.0115244860198063,0.0115244860198063,1.177058279,0.0118273685555556,1.73700063167636e-06,0.305494047555556,0.00224541345969162,abiotic,abiotic
3256,4038,0.346938775510204,0.5543460410038,-0.50767798976268,0.0115179620604582,0.0115179620604582,1.17709573977778,0.0118273745555556,1.9596767448853e-06,0.298721284,0.00229237904036168,abiotic,abiotic
3259,4038,0.346938775510204,0.555068378071516,-0.0454862726849697,0.0115160421634106,0.0115160421634106,1.17940076422222,0.0118516535555556,3.1366622387488e-07,0.570307865888889,0.00524086552003365,abiotic,abiotic
3260,4038,0.346938775510204,0.555068378071516,-0.117729176361098,0.0115184032917321,0.0115184032917321,1.17836578144444,0.0118485756666667,2.98766398899141e-07,0.556219773555556,0.00332740300262244,abiotic,abiotic
3263,133,0.346938775510204,0.555068378071516,-0.0544439274080968,0.0115184184713923,0.0115184184713923,1.17911943144444,0.0118489301111111,2.58608187118066e-07,0.551076265666667,0.00297186485479248,abiotic,abiotic
3267,133,0.346938775510204,0.555068378071516,-0.0215216379711494,0.0115178336375042,0.0115178336375042,1.18017812333333,0.0118601104444444,3.88486414748721e-07,0.367901640444444,0.00333874269692553,abiotic,abiotic
3268,133,0.346938775510204,0.553984300233548,-0.507910656119125,0.0115264889911953,0.0115264889911953,1.17717064755556,0.0118297244444444,1.76091470864146e-06,0.298573570333333,0.00349679158369547,abiotic,abiotic
3269,4038,0.346938775510204,0.553984300233548,-0.507212657049791,0.0115269183059555,0.0115269183059555,1.17690607211111,0.0118270945555556,1.84458618514954e-06,0.294735887111111,0.00263202668305171,abiotic,abiotic
3272,133,0.387755102040816,0.553259672181557,-0.509306654257794,0.0115240368425739,0.0115240368425739,1.17954077188889,0.0118538674444444,1.50456455494606e-06,0.557728155555556,0.00580843608282532,abiotic,abiotic
4922,323,0.408163265306122,0.557942525955338,0.0129129827826896,0.0113040758061331,0.0113040758061331,1.17963897611111,0.0118419486666667,6.60953688073165e-07,0.363800720333333,0.00250811014041982,abiotic,abiotic
4924,799,0.346938775510204,0.552533512715665,-0.506979990693346,0.0114253820068818,0.0114253820068818,1.18031365188889,0.0118511284444444,2.73493601387701e-07,0.557137526666667,0.00407273156523469,abiotic,abiotic
4925,323,0.408163265306122,0.557226262620073,0.0127966496044671,0.0113031837079626,0.0113031837079626,1.17931653022222,0.0118427181111111,5.81760498639747e-07,0.363148708333333,0.00233849672959244,abiotic,abiotic
4929,323,0.408163265306122,0.556508485659345,0.00837598883201496,0.0112143901858236,0.0112143901858236,1.17936389255556,0.0118392631111111,4.45961726060829e-07,0.376007218666667,0.00625956362675919,abiotic,abiotic
4933,323,0.408163265306122,0.552896784080831,-0.506747324336901,0.0113967477864981,0.0113967477864981,1.18102655433333,0.0118519475555556,6.33765926821774e-07,0.558649774555556,0.00302433566296319,abiotic,abiotic
4934,323,0.408163265306122,0.553259672181557,-0.503955328059563,0.0113571457851496,0.0113571457851496,1.18121104733333,0.0118528691111111,5.99018781007838e-07,0.557634951888889,0.00344652528072581,abiotic,abiotic
4935,323,0.408163265306122,0.55107658634389,-0.510702652396464,0.0114247430962755,0.0114247430962755,1.17885846977778,0.0118344165555556,1.57609415257412e-06,0.326166962333333,0.00324940351607337,abiotic,abiotic
4936,799,0.408163265306122,0.55107658634389,-0.511167985109353,0.0114372964429781,0.0114372964429781,1.17857367311111,0.0118304754444444,1.76118168978797e-06,0.333149922444444,0.00372026441070696,abiotic,abiotic
