avg_d13C12C,avg_calib_d18O16O,biotic,pred
-11.9224540866667,-5.87425193576117,abiotic,abiotic
-11.0114897066667,-3.34575934910761,abiotic,abiotic
-13.7067253755556,-3.32440287646906,abiotic,abiotic
-11.0068601133333,-3.30270787778677,abiotic,abiotic
-11.4774773222222,-5.90620978443084,abiotic,abiotic
-11.0908802077778,-5.95684107168742,abiotic,biotic
-11.6667473933333,-5.7685041581844,abiotic,abiotic
-12.3561821511111,-4.37081990857307,abiotic,abiotic
-13.8658994277778,-6.2671157263973,abiotic,abiotic
-14.1197496866667,-4.79252651844693,biotic,biotic
-11.9976247455556,-3.78334084241363,abiotic,abiotic
-13.28340894,-4.05528907368327,abiotic,biotic
-13.5681928077778,-4.72593351301551,abiotic,abiotic
-12.7420485355556,-9.19911294402074,abiotic,abiotic
-14.0280773622222,-9.2686942031596,biotic,biotic
-14.0077872922222,-5.04132891067672,biotic,abiotic
-13.9718803511111,-5.21432665662646,abiotic,biotic
-13.6499167011111,-9.19735216074018,abiotic,abiotic
-13.13631343,-3.8980339094356,biotic,abiotic
-14.0403141855556,-4.71266322179545,biotic,biotic
-12.7550597277778,-9.25867146851651,abiotic,abiotic
-13.4601307333333,-9.28659129804362,abiotic,abiotic
