Analysis,diff2_acf1,time_kl_shift,trend,fluctanal_prop_r1,motiftwo_entro3,avg_rR45CO244CO2,sd_rR45CO244CO2,avg_rR46CO244CO2,avg_R45CO244CO2,sd_R45CO244CO2,avg_rd45CO244CO2,sd_rd45CO244CO2,avg_d45CO244CO2,sd_d45CO244CO2,avg_R13C12C,sd_R13C12C,avg_d13C12C,sd_d13C12C,sd_d18O13C,biotic,pred
2960,0.723942559711042,133,0.191251490028127,0.408163265306122,0.552533512715665,1.17695598666667,0.000109727406609522,1.41500216255556,0.0118284601111111,1.10276158398411e-06,23.6189332666667,0.0954317600833546,-13.0491486711111,0.0920132032353584,0.0110255886666667,1.09038296024826e-06,-13.8290362166667,0.0975174792427597,0.00294709407855579,biotic,biotic
2961,0.734317482936473,133,0.176860514285184,0.408163265306122,0.552896784080831,1.17887469811111,4.7295325076726e-05,1.41099284733333,0.0118481013333333,4.75245199870442e-07,25.3186351388889,0.0411348694000023,-11.4103335266667,0.0396613350024036,0.0110464084444444,4.65395291959154e-07,-11.96684183,0.0416219575138817,0.00317916628608444,biotic,biotic
2962,0.709178032312145,133,0.217596341530184,0.469387755102041,0.55107658634389,1.18001923222222,0.000153830799694667,1.41185914233333,0.0118597222222222,1.54623153002567e-06,26.3243235266667,0.13379470872799,-10.4406709144444,0.129001914243149,0.0110577675555556,1.55510032723876e-06,-10.9508220488889,0.139097554681207,0.00983973832132181,biotic,biotic
2963,0.73486654454544,133,0.176336796397688,0.408163265306122,0.552896784080831,1.178937144,1.36176846600294e-05,1.41103165833333,0.0118485856666667,1.36949808323817e-07,25.3605674277778,0.0118437058634695,-11.3699033355556,0.0114194387498075,0.0110469133333333,1.32602790317273e-07,-11.9216775244444,0.0118441230815232,0.0027731752379434,biotic,biotic
2965,0.724102624375132,133,0.192952297788881,0.408163265306122,0.55107658634389,1.17691026244444,0.000133119674146177,1.41445804344444,0.0118314116666667,1.33801550813121e-06,23.8743522766667,0.115809872048539,-12.80287928,0.111661331393545,0.0110285252222222,1.3278397661031e-06,-13.5663817422222,0.11876739443686,0.00300630259428243,biotic,biotic
2966,0.702315074583893,133,0.231776793290066,0.489795918367347,0.550345812791181,1.17990736622222,0.000179086497610607,1.412252579,0.0118581355555556,1.79987423943375e-06,26.1870049733333,0.155754771794891,-10.5730704433333,0.150175324549754,0.0110561171111111,1.79598736385071e-06,-11.0984557555556,0.160639826271905,0.00784079793026922,biotic,biotic
2968,0.737471572424029,133,0.174324658170906,0.408163265306122,0.553622177429102,1.17962835066667,3.94642370000474e-05,1.41443000088889,0.011859052,3.96731962413039e-07,26.2663101788889,0.0343335803492947,-10.4966061055556,0.0331036839015714,0.0110561907777778,4.03003032798274e-07,-11.09186659,0.0360320578918859,0.00416826624069211,biotic,biotic
2970,0.721650577790355,133,0.198649145340657,0.408163265306122,0.551441394903152,1.17719942155556,0.00014283270403967,1.41518792155556,0.0118313226666667,1.43548833154412e-06,23.86666205,0.124228404881023,-12.8102940277778,0.119778294170857,0.0110284884444444,1.43225400253508e-06,-13.5696767455556,0.12811261618581,0.00342020771772899,biotic,biotic
2972,0.737090783737752,4038,0.174790184452982,0.408163265306122,0.553259672181557,1.17888736666667,2.7251655179069e-05,1.41095177,0.0118511665555556,2.73927960927173e-07,25.5839049155556,0.0237077495592658,-11.1545662444444,0.0228584927399876,0.0110493507777778,2.67767519397634e-07,-11.7036672,0.0239543274529197,0.00204483195814441,biotic,biotic
2973,0.724197533467077,133,0.19400250547925,0.408163265306122,0.552169857673616,1.176757149,0.000136024804421867,1.41446869677778,0.0118292284444444,1.36723179372694e-06,23.6854212188889,0.118330823721202,-12.98504245,0.114091975133239,0.0110263865555556,1.3603736721129e-06,-13.7576544955556,0.121664957825384,0.0025653658951975,biotic,biotic
