Analysis,avg_calib_d18O16O,avg_d13C12C,biotic,pred
5909,-5.04132891067672,-14.0077872922222,biotic,abiotic
5911,-4.52019690875584,-14.4051679477778,biotic,biotic
5912,-3.99195312862366,-12.7787199188889,biotic,abiotic
5913,-6.48864599813418,-13.8094546622222,biotic,abiotic
5916,-9.25384792675155,-12.8467010966667,biotic,abiotic
5917,-9.25398904284702,-13.6182948933333,biotic,abiotic
5918,-4.251020008532,-14.3813446355556,biotic,abiotic
5920,-3.77355043928287,-13.2771588033333,biotic,abiotic
5924,-4.67214537975989,-14.0000233044444,abiotic,biotic
5925,-5.21432665662646,-13.9718803511111,abiotic,abiotic
5926,-4.8405025822163,-14.51034268,biotic,biotic
5927,-9.10445280498194,-12.6038483766667,abiotic,abiotic
5928,-4.84770491518785,-14.2175604811111,abiotic,biotic
5929,-3.94140496387377,-13.8286447677778,biotic,biotic
5930,-3.95396866027045,-12.77259119,abiotic,biotic
5931,-4.70840999563608,-13.4642392711111,abiotic,abiotic
5933,-9.19735216074018,-13.6499167011111,abiotic,biotic
5934,-9.21236123494659,-12.8346836711111,abiotic,biotic
5935,-3.8980339094356,-13.13631343,biotic,abiotic
5937,-4.27382272685646,-14.43012816,abiotic,biotic
5941,-4.3428777910565,-12.7644943266667,abiotic,abiotic
5942,-4.72618266745906,-13.4689840533333,abiotic,abiotic
5944,-3.86725459837792,-12.9037756011111,biotic,abiotic
5945,-3.6754693262707,-12.8055664011111,abiotic,biotic
5946,-6.17810976149319,-12.9645901588889,abiotic,biotic
5947,-6.07865186559581,-12.8581059911111,abiotic,abiotic
5949,-3.81147827410589,-12.4429242288889,abiotic,abiotic
5950,-9.07922432269768,-12.1584579244444,abiotic,abiotic
5951,-3.82917201337573,-13.1947528377778,abiotic,biotic
5952,-4.4900864279944,-13.3954761544444,abiotic,abiotic
5955,-4.71266322179545,-14.0403141855556,biotic,abiotic
5956,-3.70817120789835,-13.1151396822222,abiotic,biotic
5957,-9.25867146851651,-12.7550597277778,abiotic,abiotic
5959,-3.82165041973024,-13.5316699188889,biotic,biotic
5960,-3.65464977226186,-12.69113766,biotic,abiotic
