avg_d13C12C,avg_d18O16O,biotic,pred
-11.0114897066667,-4.09279323611111,abiotic,abiotic
-13.7067253755556,-4.07125141766667,abiotic,biotic
-11.0068601133333,-4.04936813522222,abiotic,abiotic
-11.4774773222222,-6.67546497911111,abiotic,abiotic
-11.0908802077778,-6.72653567866667,abiotic,biotic
-11.6667473933333,-6.536564251,abiotic,abiotic
-12.3561821511111,-5.12674995922222,abiotic,abiotic
-13.8658994277778,-6.17347210333333,abiotic,abiotic
-14.1197496866667,-4.72167652155556,biotic,biotic
-11.9976247455556,-3.728090445,abiotic,abiotic
-13.28340894,-3.99583500633333,abiotic,biotic
-13.5681928077778,-4.65611288488889,abiotic,abiotic
-12.7420485355556,-9.06014764888889,abiotic,abiotic
-14.0280773622222,-9.128653348,biotic,biotic
-14.0077872922222,-4.96663302322222,biotic,abiotic
-13.9718803511111,-5.13695663733333,abiotic,biotic
-13.6499167011111,-9.05841408311111,abiotic,abiotic
-13.13631343,-3.84101063122222,biotic,abiotic
-14.0403141855556,-4.64304772066667,biotic,biotic
-12.7550597277778,-9.11878554088889,abiotic,abiotic
-13.4601307333333,-9.14627379655555,abiotic,abiotic
