Analysis,avg_d13C12C,avg_d18O16O,biotic,pred
5912,-12.7787199188889,-3.93347808366667,biotic,abiotic
5914,-13.2214460744444,-3.81970817955556,abiotic,biotic
5916,-12.8467010966667,-9.11403655955556,biotic,abiotic
5917,-13.6182948933333,-9.11417549433333,biotic,abiotic
5918,-14.3813446355556,-4.18854040855556,biotic,biotic
5919,-12.82891191,-4.04996286744444,abiotic,biotic
5924,-14.0000233044444,-4.60315618766667,abiotic,biotic
5925,-13.9718803511111,-5.13695663733333,abiotic,biotic
5926,-14.51034268,-4.76891099,biotic,biotic
5928,-14.2175604811111,-4.77600199211111,abiotic,biotic
5929,-13.8286447677778,-3.88371127277778,biotic,biotic
5930,-12.77259119,-3.89608076444444,abiotic,biotic
5931,-13.4642392711111,-4.63886023922222,abiotic,abiotic
5934,-12.8346836711111,-9.07319115288889,abiotic,biotic
5935,-13.13631343,-3.84101063122222,biotic,biotic
5937,-14.43012816,-4.21099065133333,abiotic,biotic
5938,-13.3991076433333,-3.89704201966667,biotic,biotic
5939,-12.70876074,-4.07324111177778,biotic,abiotic
5941,-12.7644943266667,-4.27897828922222,abiotic,biotic
5944,-12.9037756011111,-3.81070709477778,biotic,biotic
5945,-12.8055664011111,-3.62188636477778,abiotic,biotic
5946,-12.9645901588889,-6.085841958,abiotic,abiotic
5947,-12.8581059911111,-5.98792144355556,abiotic,abiotic
5948,-12.61056295,-8.978777259,biotic,abiotic
5949,-12.4429242288889,-3.75579293922222,abiotic,abiotic
5950,-12.1584579244444,-8.94211221922222,abiotic,biotic
5952,-13.3954761544444,-4.42391143233333,abiotic,biotic
5953,-13.4735790733333,-9.06116994755556,abiotic,biotic
5954,-14.2449314444444,-4.68425179933333,biotic,biotic
5955,-14.0403141855556,-4.64304772066667,biotic,biotic
5956,-13.1151396822222,-3.65408275344444,abiotic,biotic
5957,-12.7550597277778,-9.11878554088889,abiotic,biotic
5959,-13.5316699188889,-3.76580784777778,biotic,biotic
5960,-12.69113766,-3.60138863133333,biotic,abiotic
