fileId,Identifier1,Analysis,Preparation,DateTime,PeakNr,Start,Rt,End,Ampl44,Ampl45,Ampl46,BGD44,BGD45,BGD46,rIntensity44,rIntensity45,rIntensity46,rIntensityAll,Intensity44,Intensity45,Intensity46,IntensityAll,ListFirstPeak,rR45CO244CO2,rR46CO244CO2,IsRef,R45CO244CO2,RefName,rd45CO244CO2,d45CO244CO2,R46CO244CO2,rd46CO244CO2,d46CO244CO2,R13C12C,d13C12C,AT13C12C,R18O16O,d18O16O,AT18O16O,R17O16O,d17O16O,Rps45CO244CO2,Rps46CO244CO2
170227_H1_.dxf,H1,2118,1488216799,NA,7,331.683013916016,335.863006591797,341.506011962891,4747.24497820711,5591.06085977559,6764.78353162897,1.84151530402155,1.32097122836983,2.66819134743668,18840.1094280101,22194.3656268372,26853.38018613,67887.8552409774,18.8401094280101,0.221943656268372,0.0805601405583901,19.1426132248369,NA,1.17803804227593,1.42533037234945,0,0.0118564635954561,CO2_zero,26.0423134581234,-10.7125788150045,0.00403805974775573,46.5028454337224,4.60292100413695,0.0110498894017788,-11.6554800648649,1.09291237926121,0.00201449227581939,4.63408927757558,0.201044225542486,0.000403287096838651,23.7269245438962,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,8,391.457000732422,395.428009033203,401.279998779297,4501.21406723882,5303.77347496832,6411.90365842822,1.96591398792612,1.46817679136635,2.86753658778394,17867.0075091748,21048.183233167,25464.8766823142,64380.067424656,17.8670075091748,0.21048183233167,0.0763946300469426,18.1538839715534,NA,1.17804748346127,1.42524575921501,0,0.0118565586170651,CO2_zero,26.0505364995718,-10.7046503393832,0.00403782003288054,46.4407209693398,4.54328388164171,0.0110500091668863,-11.6447678139653,1.09292409541558,0.00201437251177931,4.57436254703358,0.201032297244382,0.000403274725089421,23.6955193913637,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,9,451.022003173828,455.201995849609,460.845001220703,4268.29958794024,5028.63767782836,6077.44727718621,1.88743994509266,1.39360732682858,2.7793451573056,16936.9934009598,19952.1469742476,24140.2733992084,61029.4137744157,16.9369934009598,0.199521469742476,0.0724208201976251,17.2089356908999,NA,1.17802177174592,1.4252986245977,0,0.0118562998393296,CO2_zero,26.0281422245554,-10.7262424065812,0.0040379698041743,46.4795356711691,4.58054451882561,0.0110497349129976,-11.6692981344158,1.09289726622088,0.00201444741940156,4.61171923077752,0.201039757918619,0.000403282463165985,23.715162165419,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,10,510.795989990234,514.976013183594,520.619018554688,4043.96289974144,4763.80903816922,5760.02118268703,1.90083621541026,1.29421586529477,2.84644451816352,16035.7461559949,18890.8204778161,22856.5015554766,57783.0681892876,16.0357461559949,0.188908204778161,0.0685695046664297,16.2932238654395,NA,1.17804436999983,1.42534693011038,0,0.0118565272813689,CO2_zero,26.04782475083,-10.7072649478497,0.00403810665704021,46.5150024355383,4.61459126340857,0.0110499482526211,-11.6502162196429,1.09291813641043,0.00201451567903925,4.64576054221344,0.201046556463712,0.000403289514373892,23.7330613529743,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,11,570.570007324219,574.75,580.393005371094,3833.23069359585,4516.24777078015,5462.55308209225,1.91806104238801,1.42037330079503,2.82343700551724,15191.8198214392,17897.0982467101,21653.3669010089,54742.2849691583,15.1918198214392,0.178970982467101,0.0649601007030268,15.4357509046094,NA,1.17807467815364,1.42533068161136,0,0.0118568323203485,CO2_zero,26.0742224112942,-10.6818129044949,0.00403806062391616,46.5030724993034,4.60313897845666,0.0110502580669516,-11.6225052367925,1.09294844433143,0.0020144925648797,4.63423343292502,0.201044254332406,0.000403287126698449,23.7270003417074,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,12,630.343994140625,634.315002441406,639.9580078125,3633.99331340325,4280.98787509275,5173.67729546506,1.94294343536805,1.44140571376272,2.82151980783163,14390.2581216745,16952.0961143689,20509.6726011619,51852.0268372053,14.3902581216745,0.169520961143689,0.0615290178034858,14.6213081006217,NA,1.17802585409054,1.42524702668609,0,0.0118563409264325,CO2_zero,26.0316978468396,-10.7228141538143,0.00403782362371396,46.44165156909,4.54417722200029,0.0110497910876014,-11.664273662242,1.09290276156578,0.00201437439291626,4.57530067636935,0.201032484602498,0.000403274919415565,23.6960126799106,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,13,689.908996582031,694.088989257812,699.731994628906,3446.56024779143,4060.39871791531,4907.4962934726,1.79751207554502,1.22351900837792,2.59730855568296,13654.0192915667,16086.0172730888,19462.2008974551,49202.2374621105,13.6540192915667,0.160860172730888,0.0583866026923652,13.8732660669899,NA,1.17811590342663,1.42538255453292,0,0.0118572472355982,CO2_zero,26.1101286154721,-10.6471929325211,0.00403820758349872,46.5411585185618,4.63970010809267,0.0110506578526877,-11.5867468660957,1.09298755377476,0.00201456579679621,4.6707544365685,0.201051548107411,0.000403294691455265,23.7462031510465,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,14,749.682983398438,753.862976074219,759.505981445312,3267.15598195499,3848.55399753885,4654.70754452279,1.80707733833518,1.24644553376074,2.73334451577489,12923.8380628312,15224.9922739796,18419.946700466,46568.7770372768,12.9238380628312,0.152249922739796,0.0552598401013981,13.1313478256724,NA,1.1780550173997,1.42526907339094,0,0.0118566344430262,CO2_zero,26.0570983756236,-10.6983235228842,0.00403788608355706,46.4578386509087,4.55971620476436,0.0110500781834799,-11.6385947049331,1.09293084703907,0.00201440547028987,4.59079906736126,0.2010355798572,0.00040327812977316,23.7041620343865,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,15,809.247985839844,813.427978515625,819.070983886719,3099.58855186003,3651.63678378209,4412.62361764859,1.71717826254336,1.15394152091397,2.62412672035617,12256.7713965201,14439.938771739,17469.4116282682,44166.1217965273,12.2567713965201,0.14439938771739,0.0524082348848045,12.4535790191223,NA,1.17811928644102,1.42528656716466,0,0.0118572812842329,CO2_zero,26.113075138237,-10.6443519601077,0.00403793564463067,46.4706828899228,4.57204618560292,0.0110507199644179,-11.5811913545488,1.09299362991471,0.0020144299630303,4.60301367958449,0.201038019293258,0.000403280659907505,23.7105846714409,NA,NA
170227_H1_(1).dxf,H1,2123,1488221886,NA,7,331.473999023438,335.653991699219,341.296997070312,4653.8208026869,5483.38188389904,6626.27032651167,1.92523840257164,1.40651199324338,2.97254389686918,18398.2043345332,21674.4458012541,26222.7912904983,66295.4414262856,18.3982043345332,0.216744458012541,0.0786683738714948,18.6936171664173,NA,1.17807397978353,1.42529079543259,0,0.0118562994686185,CO2_zero,26.0281101437172,-10.7262733382195,0.00403741765777625,46.3364415089353,4.44317956660778,0.0110497915185694,-11.6642351148059,1.09290280372572,0.00201417164965088,4.47419192643239,0.201012291705903,0.000403253975024506,23.6428462453433,NA,NA
