fileId,Identifier1,Analysis,Preparation,DateTime,PeakNr,Start,Rt,End,Ampl44,Ampl45,Ampl46,BGD44,BGD45,BGD46,rIntensity44,rIntensity45,rIntensity46,rIntensityAll,Intensity44,Intensity45,Intensity46,IntensityAll,ListFirstPeak,rR45CO244CO2,rR46CO244CO2,IsRef,R45CO244CO2,RefName,rd45CO244CO2,d45CO244CO2,R46CO244CO2,rd46CO244CO2,d46CO244CO2,R13C12C,d13C12C,AT13C12C,R18O16O,d18O16O,AT18O16O,R17O16O,d17O16O,Rps45CO244CO2,Rps46CO244CO2
170227_H1_.dxf,H1,2118,1488216799,NA,1,27.1700000762939,47.234001159668,50.5779991149902,2332.53444784981,2677.85737776494,3176.85710436453,1.15011806352927,0.469010958841443,1.59442181230074,45354.2822713083,52075.5298516375,61768.4766534443,159198.28877639,45.3542822713082,0.520755298516375,0.185305429960333,46.0603429997849,1,1.14819433234822,1.36191057514584,0,0.0115560990506681,CO2_zero,0.0491722542634854,-35.7745936001419,0.00385838706606258,-0.0610947712457177,-40.096690227198,0.0107682437454301,-36.8469485849902,1.06535240022263,0.00192487403455207,-40.0588297665694,0.192117601272937,0.000393927652618983,-0.0316214684847882,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,2,66.879997253418,87.1529998779297,90.2880020141602,2335.44584299899,2681.45677611405,3180.24533968298,1.46435217669849,0.857796416317225,2.09612017501359,45433.8270738867,52164.2977070155,61880.5901417731,159478.714922675,45.4338270738867,0.521642977070155,0.185641770425319,46.1411118213822,NA,1.14813787582066,1.36199378584463,1,0.0115555308391675,CO2_zero,0,-35.8220044056966,0.00385862280774034,0,-40.038041570943,0.01076765062,-36.9,1.06529434468893,0.001924992,-40,0.192129352533408,0.000393940109583743,0,0.0119848522699845,0.00401955803962778
170227_H1_.dxf,H1,2118,1488216799,NA,4,166.363998413086,186.636993408203,189.772003173828,2334.60384338808,2680.05789779987,3179.31796726406,1.45670312237833,0.789064405952722,2.11134485807496,45391.0979760726,52115.882011236,61822.9653324587,159329.945319767,45.3910979760726,0.52115882011236,0.185468895997376,46.0977256921824,NA,1.14815204599607,1.36200638647357,0,0.0115556734560974,CO2_zero,0.0123418761022176,-35.8101046403344,0.00385865850619562,0.00925160531450864,-40.0291603817868,0.0107677894832711,-36.8875795360452,1.06530793672955,0.00192500977357516,-39.9911362581484,0.192131123067803,0.000393941986413147,0.00476425060003116,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,5,206.492004394531,226.555999755859,229.690994262695,2336.25201176087,2682.50488462363,3181.66958278293,1.54085555623362,0.970481351123542,2.28937205250501,45189.8190773679,51883.0484670712,61546.4719035238,158619.339447963,45.1898190773678,0.518830484670712,0.184639415710572,45.8932889777491,NA,1.14811365759717,1.36195437733779,0,0.0115552870928071,CO2_zero,-0.0210934801468943,-35.8423422751046,0.0038585111607087,-0.0289344248471934,-40.0658175180855,0.0107674186301398,-36.9207500635226,1.06527163733993,0.00192493633348353,-40.0277610794287,0.192123807251248,0.00039393423133367,-0.0149216846173639,NA,NA
170227_H1_.dxf,H1,2118,1488216799,NA,16,843.315002441406,863.379028320312,866.723022460938,2330.87686506335,2675.59357630284,3173.89081828833,2.30086201309221,1.81090354555857,3.3844980455715,45277.6549337586,51985.486718766,61666.2855611388,158929.427213663,45.2776549337585,0.51985486718766,0.184998856683416,45.9825086576296,NA,1.148148834007,1.36195846828545,0,0.0115556411287615,CO2_zero,0.00954431219990504,-35.8128019898902,0.00385852275064699,-0.0259307785015483,-40.062934131857,0.0107677714729788,-36.8891904457189,1.0653061738689,0.0019249419827972,-40.0249437476544,0.192124370013962,0.00039393482789134,-0.0134073486687258,NA,NA
170227_H1_(1).dxf,H1,2123,1488221886,NA,1,27.1700000762939,47.234001159668,50.5779991149902,2319.44399840568,2663.20509246511,3159.24805363427,1.31093763253531,0.665169439398094,1.98840802456834,45147.3670310013,51841.0830660374,61498.0762951565,158486.526392195,45.1473670310013,0.518410830660374,0.18449422888547,45.8502720905471,1,1.14826370783571,1.362163074824,0,0.0115562847687613,CO2_zero,0.0652440467112658,-35.7590975315142,0.00385859592210164,-0.0069676773396532,-40.0447302761278,0.0107684074481874,-36.8323063820489,1.06536842355151,0.00192497827521322,-40.0068445974344,0.192127985323514,0.000393938660286956,-0.00367897746866852,NA,NA
170227_H1_(1).dxf,H1,2123,1488221886,NA,2,66.879997253418,87.1529998779297,90.2880020141602,2321.17544222044,2664.76577497836,3160.9809052743,1.64403948743697,1.09802926870206,2.37699628126631,45191.0126592381,51887.8143859618,61557.957674305,158636.784719505,45.1910126592381,0.518878143859618,0.184673873022915,45.8945646761206,NA,1.14818879535232,1.36217256600292,1,0.0115555308391675,CO2_zero,0,-35.8220044056966,0.00385862280774034,0,-40.038041570943,0.01076765062,-36.9,1.06529434468893,0.001924992,-40,0.192129352533408,0.000393940109583743,0,0.0119848522699845,0.00401955803962778
170227_H1_(1).dxf,H1,2123,1488221886,NA,4,166.572998046875,186.636993408203,189.772003173828,2320.92236995765,2665.07604816346,3161.35955497006,1.60159673329574,1.01203477624168,2.482377361405,45121.2886574144,51809.3151296089,61461.9124574145,158392.516244438,45.1212886574143,0.518093151296089,0.184385737372244,45.8237675460827,NA,1.14822330370424,1.36214887221123,0,0.011555878135994,CO2_zero,0.0300545973475064,-35.7930264242675,0.00385855569039611,-0.0173941189836047,-40.0547392634678,0.010768005025344,-36.8683006257468,1.06532903414113,0.00192495834138584,-40.016785664353,0.19212599959307,0.000393936555324985,-0.00902233276678377,NA,NA
170227_H1_(1).dxf,H1,2123,1488221886,NA,5,206.492004394531,226.555999755859,229.690994262695,2323.74234239454,2668.15744487477,3164.46561423062,1.70522602463641,1.14390506970719,2.60832281270096,44915.2549922377,51571.031148901,61179.9172167428,157666.203357881,44.9152549922377,0.51571031148901,0.183539751650229,45.6145050553769,NA,1.14818520250667,1.36211888872313,0,0.011555494680272,CO2_zero,-0.00312914188349556,-35.8250214554456,0.00385847075624464,-0.0394056385605301,-40.0758694849088,0.0107676304968426,-36.9017998924369,1.06529237501895,0.00192491607167145,-40.0378657134218,0.192121788848073,0.000393932091714689,-0.0203530152422804,NA,NA
170227_H1_(1).dxf,H1,2123,1488221886,NA,16,843.315002441406,863.379028320312,866.723022460938,2318.56832597173,2662.21655150943,3158.20478434059,2.40956389515179,1.94820733464074,3.65327307918462,45017.3766485135,51689.3441235109,61321.628009954,158028.348781978,45.0173766485135,0.516893441235109,0.183964884029862,45.7182349737785,NA,1.14820871342839,1.36217684314972,0,0.0115557312974399,CO2_zero,0.0173473876021735,-35.8052784362896,0.00385863492360333,0.00313994489609115,-40.0350273432912,0.0107678498169358,-36.8821830615051,1.06531384223251,0.00192499797242045,-39.9970215337894,0.192129947482699,0.000393940740252072,0.00160092438616921,NA,NA
