failed_sampIso_Analysis,failed_sampIso_Identifier1,failed_sampIsoSD_d18O16O,failed_sampIsoSD_d13C12C,failed_sampIsoSD_reason
3520,NaCl_U,1.27929747707082,1.92004628273078,d13C12C_d18O16O
3524,NaHCO3_L,1.38525984942735,0.501625083741342,d13C12C_d18O16O
3506,NaHCO3_U_+_NaCl_L,1.32671519526698,0.0740481423478114,d18O16O
3522,NaHCO3_U_+_NaCl_L,1.10240738938733,0.056119278181722,d18O16O
3527,H1,1.55800595821558,0.280769841774638,d18O16O
3561,H1,0.749531904185493,0.0983431003296788,d18O16O
3529,L1,1.11189177217066,0.232916226343985,d18O16O
3528,LW,1.18390517026289,0.313895117851055,d13C12C_d18O16O
3562,LW,2.13405131128882,0.205989733791537,d18O16O
3555,MgSO4_L_+_NaCl_L,1.7520716052457,0.569679457383971,d13C12C_d18O16O
3535,MgSO4_L_+_NaCl_U,1.44062583124295,0.206923271958161,d18O16O
3542,Na2SO4_L_+_NaCl_L,0.910032927713742,1.25691743744723,d13C12C_d18O16O
3560,Na2SO4_L_+_NaCl_L,1.20388330491817,0.330857956345161,d13C12C_d18O16O
3536,Na2SO4_L,1.85622283266272,0.377112348312519,d13C12C_d18O16O
3552,Na2SO4_L,2.24518197706236,0.126137571320861,d18O16O
3539,NaCl_L,0.536096134441538,0.227285563290412,d18O16O
3554,NaCl_L,1.26967480110265,0.192329259230287,d18O16O
3544,NaCl_U,0.987182889778703,0.363431914595607,d13C12C_d18O16O
3557,NaHCO3_U_+_NaCl_L,0.818179484622831,0.253402136928287,d18O16O
3725,H1,0.553431629592531,0.144580856675236,d18O16O
3753,H1,0.793727631864106,0.499842120629895,d13C12C_d18O16O
3755,L1,0.676468634375503,0.47088926192688,d13C12C_d18O16O
3726,LW,0.570252278369984,0.395686945533252,d13C12C_d18O16O
3733,MgSO4_L_+_NaCl_L,0.601288141213884,0.540211996937744,d13C12C_d18O16O
3743,MgSO4_L_+_NaCl_U,0.676942620743173,0.281919893389679,d18O16O
3751,MgSO4_L_+_NaCl_U,0.500243877838552,0.290593749605001,d18O16O
