actual,pred,Analysis,trainTest,abiotic,biotic
abiotic,abiotic,5889,train,0.71638532760462,0.283614672395379
abiotic,biotic,5892,train,0.275520352278766,0.724479647721234
biotic,biotic,5893,train,0.31964342220245,0.680356577797551
abiotic,biotic,5894,train,0.567498036971753,0.432501963028247
abiotic,abiotic,5895,train,0.659755686678147,0.340244313321853
abiotic,abiotic,5896,train,0.753352106468975,0.246647893531025
abiotic,biotic,5897,train,0.218299157943462,0.781700842056538
biotic,biotic,5900,train,0.529164570506524,0.470835429493476
abiotic,abiotic,5901,train,0.724993024912393,0.275006975087608
abiotic,abiotic,5902,train,0.821983277064745,0.178016722935254
biotic,biotic,5903,train,0.511666443417499,0.488333556582502
abiotic,abiotic,5905,train,0.691088934541915,0.308911065458085
abiotic,abiotic,5908,train,0.647941502756785,0.352058497243214
abiotic,abiotic,5909,train,0.748701979037102,0.251298020962897
abiotic,biotic,5911,train,0.5652088709443,0.4347911290557
abiotic,abiotic,5912,train,0.75650413689699,0.24349586310301
abiotic,abiotic,5913,train,0.793777489961631,0.206222510038369
biotic,biotic,5914,train,0.302109765376005,0.697890234623996
biotic,biotic,5916,train,0.495212821145971,0.504787178854029
abiotic,biotic,5917,train,0.517518954735783,0.482481045264217
abiotic,abiotic,5918,train,0.68005076231822,0.319949237681779
abiotic,abiotic,5919,train,0.841868274246412,0.158131725753588
biotic,biotic,5920,train,0.528214773549868,0.471785226450132
biotic,biotic,5924,train,0.575918797325983,0.424081202674017
biotic,biotic,5925,train,0.202255359005471,0.79774464099453
biotic,biotic,5926,train,0.448034873356482,0.551965126643519
biotic,biotic,5928,train,0.432000670386229,0.567999329613771
biotic,biotic,5929,train,0.302249165348796,0.697750834651203
biotic,biotic,5930,train,0.510029169895807,0.489970830104193
abiotic,abiotic,5931,train,0.733210869336696,0.266789130663303
abiotic,abiotic,5934,train,0.742897764201221,0.257102235798778
abiotic,abiotic,5935,train,0.842182503672976,0.157817496327024
abiotic,abiotic,5937,train,0.739536891679749,0.260463108320251
abiotic,abiotic,5938,train,0.70065795164569,0.29934204835431
abiotic,abiotic,5939,train,0.590659793593697,0.409340206406304
abiotic,abiotic,5942,train,0.779712621018969,0.220287378981031
abiotic,abiotic,5945,train,0.978637352495221,0.0213626475047795
abiotic,abiotic,5946,train,0.930107474299624,0.069892525700376
abiotic,abiotic,5947,train,0.879311115471829,0.12068888452817
abiotic,abiotic,5948,train,0.923984656084656,0.0760153439153439
biotic,biotic,5951,train,0.337940423437584,0.662059576562417
abiotic,abiotic,5952,train,0.635205545314251,0.364794454685748
biotic,abiotic,5953,train,0.648574784834306,0.351425215165694
abiotic,abiotic,5954,train,0.772822390418858,0.227177609581142
abiotic,abiotic,5955,train,0.735508910160036,0.264491089839963
abiotic,abiotic,5956,train,0.812062884867662,0.187937115132338
abiotic,abiotic,5957,train,0.728939373473775,0.271060626526225
biotic,biotic,5959,train,0.436910294337608,0.563089705662392
biotic,abiotic,5960,train,0.627131053806192,0.372868946193808
biotic,biotic,2976,test,0.256640277777778,0.743359722222223
biotic,biotic,2978,test,0.313393001443001,0.686606998556998
biotic,biotic,2984,test,0.248878141534391,0.751121858465609
abiotic,abiotic,2996,test,0.741766865079366,0.258233134920635
abiotic,abiotic,3001,test,0.707978240740741,0.292021759259259
abiotic,abiotic,3234,test,0.660856018518519,0.339143981481481
abiotic,abiotic,3240,test,0.669087962962964,0.330912037037037
abiotic,abiotic,3241,test,0.783645833333333,0.216354166666667
abiotic,abiotic,3265,test,0.846675462962963,0.153324537037037
abiotic,abiotic,3272,test,0.933196031746032,0.0668039682539682
abiotic,abiotic,4924,test,0.720475793650795,0.279524206349207
abiotic,abiotic,4925,test,0.917072429093811,0.0829275709061893
abiotic,abiotic,4936,test,0.830514484126984,0.169485515873016
abiotic,abiotic,4937,test,0.926325595238095,0.0736744047619047
abiotic,abiotic,4942,test,0.909627393135618,0.0903726068643832
abiotic,abiotic,4960,test,0.976214021164021,0.0237859788359788
abiotic,abiotic,4963,test,0.917177380952382,0.0828226190476191
abiotic,abiotic,4973,test,0.719586373731628,0.280413626268373
biotic,biotic,5756,test,0.565116577725912,0.434883422274089
biotic,biotic,5763,test,0.364250384505141,0.635749615494857
biotic,biotic,5766,test,0.430503620498924,0.569496379501075
biotic,biotic,5779,test,0.458473709638488,0.541526290361511
biotic,biotic,5887,test,0.264375262306979,0.735624737693019
biotic,biotic,5898,test,0.498662091612091,0.501337908387909
abiotic,abiotic,5904,test,0.606000974411391,0.393999025588609
abiotic,abiotic,5907,test,0.724245568965668,0.275754431034333
biotic,biotic,5927,test,0.268132341269841,0.731867658730158
abiotic,biotic,5933,test,0.402445924334237,0.597554075665762
abiotic,abiotic,5941,test,0.789009325396825,0.210990674603174
abiotic,abiotic,5944,test,0.743394642857143,0.256605357142857
abiotic,abiotic,5949,test,0.823694971045404,0.176305028954597
biotic,biotic,5950,test,0.527936941904573,0.472063058095427
abiotic,abiotic,5958,test,0.797506999554148,0.202493000445852
biotic,biotic,5961,test,0.500031707562573,0.499968292437427
