diff2_acf10,max_kl_shift,time_level_shift,time_var_shift,diff1x_pacf5,diff2x_pacf5,fluctanal_prop_r1,localsimple_taures,avg_rR45CO244CO2,biotic
0.744535485254035,4070.36101499471,1296,1291,2.42182864824122,1.67594998293416,0.408163265306122,10,1.17695598666667,biotic
0.769606795947134,4226.6869222398,1296,1291,2.44548408438991,1.69743511776798,0.408163265306122,10,1.178937144,biotic
0.746585113511312,4058.53022431603,1296,1291,2.42396249380006,1.67871902679161,0.408163265306122,10,1.17691026244444,biotic
0.716598614461487,3852.68849499745,1296,1291,2.38056967556192,1.64399441579992,0.489795918367347,10,1.17990736622222,biotic
0.777346938562798,4153.39581944598,1296,1291,2.45439011380666,1.7069823769719,0.408163265306122,10,1.17962835066667,biotic
0.775283317511256,4088.99097779683,1296,1291,2.45522640489183,1.70857140212207,0.408163265306122,10,1.17888736666667,biotic
0.746917037928899,4071.80706837292,1296,1291,2.42754472393782,1.68344552832007,0.408163265306122,10,1.176757149,biotic
0.874392768336985,4151.57883856663,1296,1291,2.53323968696678,1.78311641299025,0.408163265306122,10,1.180776941,biotic
0.760323933912733,3929.55155331572,1296,1291,2.4368801026969,1.68850656199735,0.408163265306122,10,1.17884756877778,biotic
0.765884567359982,3952.13313166705,1296,1291,2.44082772844925,1.69219607031482,0.408163265306122,10,1.17919271633333,biotic
0.763975116905671,4080.59154972211,1296,1291,2.44061285776912,1.69252161724085,0.408163265306122,10,1.179674327,biotic
0.759524884473283,4026.26176836039,1296,1291,2.43637637033997,1.68806164745278,0.408163265306122,10,1.17860544077778,biotic
0.760364477919707,4101.26949926426,1296,1291,2.43453796703362,1.68593824963706,0.408163265306122,10,1.17935007566667,biotic
0.750358918111264,3767.12900175562,1296,1291,2.42671294921636,1.67894263320491,0.408163265306122,10,1.17668053955556,biotic
0.749193444312642,3848.7635711391,1296,1291,2.42835311303947,1.6823000474621,0.408163265306122,10,1.17669532466667,biotic
0.834138925162574,4110.34153982798,1296,1291,2.50109803784528,1.74918296844582,0.408163265306122,10,1.18037506188889,biotic
0.767738317887146,3911.71042245266,1296,1291,2.44499232799605,1.69699290940192,0.408163265306122,10,1.17951117788889,biotic
0.759040502261403,4009.84442189106,1297,1291,2.43794775017101,1.69008396893161,0.408163265306122,10,1.17877439555556,biotic
0.736262435150832,3925.15588991981,1297,1292,2.41322434278311,1.66860280279794,0.408163265306122,10,1.17682259888889,biotic
0.767230370419926,4121.0467511911,1297,1292,2.44257527030964,1.69410378732807,0.408163265306122,10,1.17885379933333,biotic
0.756832909528111,3896.87622949267,1297,1292,2.4340113432856,1.68676841829926,0.408163265306122,10,1.17686168944444,biotic
0.766791442635221,4002.05307475616,1298,1293,2.44076063028217,1.68945063956502,0.346938775510204,11,1.17996304933333,abiotic
0.736475022848474,3830.36615869044,1298,1293,2.41041754401353,1.66276480542397,0.346938775510204,11,1.17696597933333,abiotic
0.764992641336,4083.34210071219,1298,1293,2.43775125884806,1.68616934393474,0.346938775510204,11,1.17993212988889,abiotic
0.755182568683417,4041.1765142028,1298,1293,2.42421584535789,1.67355908356321,0.346938775510204,10,1.178482754,abiotic
0.722132743389443,3579.26315354444,1300,1295,2.38326298209396,1.63076498177855,0.346938775510204,11,1.177058279,abiotic
0.720270559114171,3609.9487226893,1300,1295,2.37947723728164,1.62700876696784,0.346938775510204,11,1.17709573977778,abiotic
0.747427656389615,3785.53409354148,1300,1295,2.40665164066267,1.65033352455313,0.346938775510204,11,1.17961898577778,abiotic
0.752743937263989,3996.38362101216,1300,1295,2.40934650009318,1.65247109867409,0.346938775510204,11,1.180297011,abiotic
0.746517717601492,3761.06043494702,1300,1295,2.40430629645641,1.64784770867464,0.346938775510204,11,1.18017812333333,abiotic
0.7120916178845,3680.27688914919,1300,1295,2.36879128320208,1.61750500384959,0.346938775510204,11,1.17717064755556,abiotic
0.712391281073484,3724.78097746894,1300,1295,2.36585727194934,1.61588002025248,0.387755102040816,11,1.17954077188889,abiotic
